letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
Ω,eta7,zeta7,none,none,anti,cw,,ccw,0,sw,se,static,noRotation,,static,0,w,w,3
Δ-,eta7,eta11,none,none,anti,cw,,ccw,0,sw,se,dash,noRotation,,dash,0,w,e,3
Θ,eta7,zeta1,none,none,static,noRotation,,static,0,sw,sw,pro,cw,,cw,0,w,n,3
Y,eta7,eta13,none,none,static,noRotation,,static,0,sw,sw,pro,ccw,,ccw,0,w,s,3
Ω,eta7,zeta1,none,none,static,noRotation,,static,0,sw,sw,anti,ccw,,cw,0,w,n,3
Z,eta7,eta13,none,none,static,noRotation,,static,0,sw,sw,anti,cw,,ccw,0,w,s,3
η,eta7,eta7,none,none,static,noRotation,,static,0,sw,sw,static,noRotation,,static,0,w,w,3
Φ,eta7,zeta11,none,none,static,noRotation,,static,0,sw,sw,dash,noRotation,,dash,0,w,e,3
Σ-,eta7,eta9,none,none,dash,noRotation,,dash,0,sw,ne,pro,cw,,cw,0,w,n,3
W-,eta7,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,pro,ccw,,ccw,0,w,s,3
Δ-,eta7,eta9,none,none,dash,noRotation,,dash,0,sw,ne,anti,ccw,,cw,0,w,n,3
X-,eta7,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,anti,cw,,ccw,0,w,s,3
Φ,eta7,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,static,noRotation,,static,0,w,w,3
Ψ-,eta7,eta3,none,none,dash,noRotation,,dash,0,sw,ne,dash,noRotation,,dash,0,w,e,3
S,zeta2,zeta4,none,same,pro,cw,,cw,0,w,n,pro,cw,,cw,0,ne,se,3
P,zeta2,eta16,none,opp,pro,cw,,cw,0,w,n,pro,ccw,,ccw,0,ne,nw,3
V,zeta2,zeta4,none,same,pro,cw,,cw,0,w,n,anti,ccw,,cw,0,ne,se,3
R,zeta2,eta16,none,opp,pro,cw,,cw,0,w,n,anti,cw,,ccw,0,ne,nw,3
Σ,zeta2,eta2,none,none,pro,cw,,cw,0,w,n,static,noRotation,,static,0,ne,ne,3
Θ-,zeta2,zeta14,none,none,pro,cw,,cw,0,w,n,dash,noRotation,,dash,0,ne,sw,3
M,zeta2,eta12,none,opp,pro,ccw,,ccw,0,w,s,pro,cw,,cw,0,ne,se,3
S,zeta2,zeta8,none,same,pro,ccw,,ccw,0,w,s,pro,ccw,,ccw,0,ne,nw,3
O,zeta2,eta12,none,opp,pro,ccw,,ccw,0,w,s,anti,ccw,,cw,0,ne,se,3
U,zeta2,zeta8,none,same,pro,ccw,,ccw,0,w,s,anti,cw,,ccw,0,ne,nw,3
W,zeta2,zeta10,none,none,pro,ccw,,ccw,0,w,s,static,noRotation,,static,0,ne,ne,3
Y-,zeta2,eta6,none,none,pro,ccw,,ccw,0,w,s,dash,noRotation,,dash,0,ne,sw,3
U,zeta2,zeta4,none,same,anti,ccw,,cw,0,w,n,pro,cw,,cw,0,ne,se,3
R,zeta2,eta16,none,opp,anti,ccw,,cw,0,w,n,pro,ccw,,ccw,0,ne,nw,3
T,zeta2,zeta4,none,same,anti,ccw,,cw,0,w,n,anti,ccw,,cw,0,ne,se,3
Q,zeta2,eta16,none,opp,anti,ccw,,cw,0,w,n,anti,cw,,ccw,0,ne,nw,3
Δ,zeta2,eta2,none,none,anti,ccw,,cw,0,w,n,static,noRotation,,static,0,ne,ne,3
Ω-,zeta2,zeta14,none,none,anti,ccw,,cw,0,w,n,dash,noRotation,,dash,0,ne,sw,3
O,zeta2,eta12,none,opp,anti,cw,,ccw,0,w,s,pro,cw,,cw,0,ne,se,3
V,zeta2,zeta8,none,same,anti,cw,,ccw,0,w,s,pro,ccw,,ccw,0,ne,nw,3
N,zeta2,eta12,none,opp,anti,cw,,ccw,0,w,s,anti,ccw,,cw,0,ne,se,3
T,zeta2,zeta8,none,same,anti,cw,,ccw,0,w,s,anti,cw,,ccw,0,ne,nw,3
X,zeta2,zeta10,none,none,anti,cw,,ccw,0,w,s,static,noRotation,,static,0,ne,ne,3
Z-,zeta2,eta6,none,none,anti,cw,,ccw,0,w,s,dash,noRotation,,dash,0,ne,sw,3
